Year,Type,Product group,Producer,Code,Volume,Cost per unit,Price per unit
2011,Convenience stores,Coffee,J&F,|13/12/27|,5352,0.51,1.2
2011,Convenience stores,Coffee,J&F,|13/12/28|,4836,0.77,1
2011,Convenience stores,Coffee,J&F,|13/12/29|,9384,1.05,1.13
2011,Convenience stores,Coffee,J&F,|13/12/30|,9264,1.13,0.99
2011,Convenience stores,Coffee,J&F,|13/12/31|,9204,1.02,1.11
2011,Convenience stores,Coffee,J&F,|13/12/32|,6396,0.44,1.05
2011,Convenience stores,Coffee,J&F,|13/12/33|,6396,0.59,1.09
2011,Convenience stores,Coffee,J&F,|13/12/34|,7116,0.42,1.12
2011,Convenience stores,Coffee,J&F,|13/12/35|,8616,0.78,0.95
2011,Convenience stores,Coffee,J&F,|13/12/36|,6768,0.9,1.08
2011,Convenience stores,Coffee,J&F,|13/12/37|,9552,1.03,1.18
2011,Convenience stores,Coffee,J&F,|13/12/39|,6612,0.63,1.12
2011,Convenience stores,Coffee,J&F,|13/12/40|,7056,0.8,1.06
2011,Convenience stores,Coffee,J&F,|13/12/41|,6108,1.17,0.99
2011,Convenience stores,Coffee,J&F,|13/12/42|,7152,0.93,1.18
2011,Convenience stores,Coffee,J&F,|13/12/43|,8988,1.12,1.01
2011,Convenience stores,Coffee,J&F,|13/12/44|,6588,1.1,1.13
2011,Convenience stores,Coffee,J&F,|13/12/45|,8280,0.85,1.03
2011,Convenience stores,Coffee,J&F,|13/12/46|,7104,0.77,1.05
2011,Convenience stores,Coffee,J&F,|13/12/47|,7920,0.46,1.07
2011,Convenience stores,Coffee,J&F,|13/12/48|,9492,1.06,0.92
2011,Convenience stores,Coffee,J&F,|13/12/49|,9288,1.19,1.18
2011,Convenience stores,Coffee,J&F,|13/12/51|,6660,1.15,1
2011,Convenience stores,Coffee,J&F,|13/12/52|,6372,0.51,1.12
2011,Convenience stores,Coffee,J&F,|13/12/53|,5508,1.17,1.19
2011,Convenience stores,Coffee,J&F,|13/12/54|,5916,0.96,1.05
2011,Convenience stores,Coffee,J&F,|13/12/55|,6228,0.85,1.03
2011,Convenience stores,Coffee,J&F,|13/12/56|,9564,0.67,1.1
2011,Convenience stores,Coffee,J&F,|13/12/57|,9264,0.78,1.13
2011,Convenience stores,Coffee,J&F,|13/12/58|,8280,0.48,0.99
2011,Convenience stores,Coffee,J&F,|13/12/59|,5172,0.61,1.05
2011,Convenience stores,Coffee,J&F,|13/12/60|,6180,0.55,1.04
2011,Convenience stores,Coffee,J&F,|13/12/61|,6072,0.93,1.16
2011,Convenience stores,Coffee,J&F,|13/12/62|,6744,1.13,1.03
2011,Convenience stores,Coffee,J&F,|13/12/63|,6540,0.74,1.13
2011,Convenience stores,Coffee,J&F,|13/12/64|,6468,0.48,1.13
2011,Convenience stores,Coffee,J&F,|13/12/65|,4824,0.58,0.99
2011,Convenience stores,Coffee,J&F,|13/12/66|,5772,0.93,1.07
2011,Convenience stores,Coffee,J&F,|13/12/67|,8340,0.82,1.01
2011,Convenience stores,Coffee,J&F,|13/12/68|,7932,0.9,0.9
2011,Convenience stores,Coffee,J&F,|13/12/69|,7992,0.75,1.19
2011,Convenience stores,Coffee,J&F,|13/12/70|,8316,0.97,1.15
2011,Convenience stores,Coffee,J&F,|13/12/71|,7332,0.92,1.14
2011,Convenience stores,Coffee,J&F,|13/12/72|,9348,1.09,0.95
2011,Convenience stores,Coffee,J&F,|13/12/73|,6288,0.52,1.14
2011,Convenience stores,Coffee,J&F,|13/12/74|,6360,0.76,0.91
2011,Convenience stores,Coffee,J&F,|13/12/75|,9492,0.49,1.18
2011,Convenience stores,Coffee,J&F,|13/12/76|,7488,0.52,0.95
2011,Convenience stores,Coffee,J&F,|13/12/77|,9264,0.95,1.16
2011,Convenience stores,Coffee,J&F,|13/12/78|,8220,0.74,1.01
2011,Convenience stores,Coffee,J&F,|13/12/79|,9156,1.03,1.02
2011,Convenience stores,Coffee,J&F,|13/12/80|,9144,0.59,1.02
2011,Convenience stores,Coffee,J&F,|13/12/81|,5724,0.93,0.93
2011,Convenience stores,Coffee,J&F,|13/12/82|,9120,1.09,1.1
2011,Convenience stores,Coffee,J&F,|13/12/83|,6096,0.42,1.2
2011,Convenience stores,Coffee,J&F,|13/12/84|,5340,1.07,1.14
2011,Convenience stores,Coffee,J&F,|13/12/85|,7152,0.59,0.99
2011,Convenience stores,Coffee,J&F,|13/12/86|,7224,0.76,0.98
2011,Convenience stores,Coffee,J&F,|13/12/88|,5640,1.07,1.04
2011,Convenience stores,Coffee,J&F,|13/12/89|,9144,0.86,1.02
2011,Convenience stores,Coffee,J&F,|13/12/90|,7188,0.74,0.97
2011,Convenience stores,Coffee,J&F,|13/12/91|,7200,0.62,1
2011,Convenience stores,Coffee,J&F,|13/12/92|,8208,1.09,1.18
2011,Convenience stores,Coffee,J&F,|13/12/93|,7812,0.95,0.98
2011,Convenience stores,Coffee,J&F,|13/12/94|,9516,0.51,0.94
2011,Convenience stores,Coffee,J&F,|13/12/95|,6060,0.52,0.92
2011,Convenience stores,Coffee,J&F,|13/12/96|,5472,0.43,0.98
2011,Convenience stores,Coffee,J&F,|13/12/97|,8376,1.17,1.18
2011,Convenience stores,Coffee,J&F,|13/12/98|,5796,0.44,1.05
2011,Convenience stores,Coffee,J&F,|13/12/99|,7320,0.52,1.05
2011,Convenience stores,Coffee,J&F,|13/13/23|,9576,0.46,0.96
2011,Convenience stores,Coffee,J&F,|13/13/25|,8688,1.16,0.99
2011,Convenience stores,Coffee,J&F,|13/13/26|,4920,0.96,0.93
2011,Convenience stores,Coffee,J&F,|13/13/27|,6072,1.08,0.95
2011,Convenience stores,Coffee,J&F,|13/13/28|,5460,1.07,0.91
2011,Convenience stores,Coffee,J&F,|13/13/29|,5268,0.4,1.06
2011,Convenience stores,Coffee,J&F,|13/13/30|,7164,0.72,1.16
2011,Convenience stores,Coffee,J&F,|13/13/31|,7020,0.98,0.96
2011,Convenience stores,Coffee,J&F,|13/13/32|,8028,1.17,1.16
2011,Convenience stores,Coffee,J&F,|13/13/33|,7680,0.44,1.07
2011,Convenience stores,Coffee,J&F,|13/13/34|,8916,1.13,0.94
2011,Convenience stores,Coffee,J&F,|13/13/35|,7392,0.66,1.14
2011,Convenience stores,Coffee,J&F,|13/13/36|,8472,1.04,1
2011,Convenience stores,Coffee,J&F,|13/13/37|,6852,1.02,1.11
2011,Convenience stores,Coffee,J&F,|13/13/38|,5724,1.01,1.15
2011,Convenience stores,Coffee,J&F,|13/13/39|,8100,0.43,0.95
2011,Convenience stores,Coffee,J&F,|13/13/40|,6936,0.44,1.19
2011,Convenience stores,Coffee,J&F,|13/13/41|,5964,0.99,0.95
2011,Convenience stores,Coffee,J&F,|13/99/01|,5808,1.09,1.17
2011,Convenience stores,Coffee,J&F,|13/99/02|,5844,0.87,0.9
2011,Convenience stores,Coffee,J&F,|13/99/03|,5292,0.74,0.94
2011,Convenience stores,Coffee,J&F,|13/99/04|,6228,1.16,0.92
2011,Convenience stores,Coffee,J&F,|13/99/05|,7944,0.86,1.04
2011,Convenience stores,Coffee,J&F,|13/99/06|,4944,1.07,0.99
2011,Convenience stores,Coffee,J&F,|13/99/07|,5028,0.84,1.13
2011,Convenience stores,Coffee,J&F,|13/99/09|,7248,1.04,1.07
2011,Convenience stores,Coffee,J&F,|13/99/10|,6720,0.98,0.99
2011,Convenience stores,Coffee,J&F,|13/99/11|,9156,0.56,1.11
2011,Convenience stores,Coffee,J&F,|13/99/14|,7932,1.17,1.05
2011,Convenience stores,Coffee,J&F,|13/99/15|,5448,0.71,0.9
2011,Convenience stores,Coffee,J&F,|13/99/16|,5412,0.64,1.11
2011,Convenience stores,Coffee,J&F,|13/99/17|,7956,1.17,1.19
2011,Convenience stores,Coffee,J&F,|13/99/51|,5772,0.55,1.13
2011,Convenience stores,Beverages,J&F,|13/05/01|,96,1.14,1.23
2011,Convenience stores,Beverages,J&F,|13/05/02|,144,1.08,1.26
2011,Convenience stores,Beverages,J&F,|13/05/04|,72,1.16,1.23
2011,Convenience stores,Cosmetics,J&F,|13/12/87|,336,4.17,5.02
2011,Convenience stores,Cosmetics,J&F,|13/13/01|,468,4.86,5.4
2011,Convenience stores,Cosmetics,J&F,|13/13/02|,396,4.42,5.2
2011,Convenience stores,Cosmetics,J&F,|13/13/03|,264,4.1,5.11
2011,Convenience stores,Cosmetics,J&F,|13/13/04|,648,4.46,5.22
2011,Convenience stores,Cosmetics,J&F,|13/13/05|,444,4.03,5.35
2011,Convenience stores,Cosmetics,J&F,|13/13/06|,336,4.09,5.25
2011,Convenience stores,Cosmetics,J&F,|13/13/07|,696,4.21,5.01
2011,Convenience stores,Cosmetics,J&F,|13/13/08|,456,4.07,5.09
2011,Convenience stores,Cosmetics,J&F,|13/13/09|,696,4.11,5.2
2011,Convenience stores,Cosmetics,J&F,|13/13/10|,444,4.22,5.1
2011,Convenience stores,Cosmetics,J&F,|13/13/11|,252,4.78,5.06
2011,Convenience stores,Cosmetics,J&F,|13/13/12|,600,4.34,5.03
2011,Convenience stores,Cosmetics,J&F,|13/13/13|,456,4.48,5.34
2011,Convenience stores,Cosmetics,J&F,|13/13/14|,336,4.26,5.21
2011,Convenience stores,Cosmetics,J&F,|13/13/15|,612,4.63,5.2
2011,Convenience stores,Cosmetics,J&F,|13/13/16|,660,4.4,5.37
2011,Convenience stores,Cosmetics,J&F,|13/13/17|,348,4.72,5.14
2011,Convenience stores,Cosmetics,J&F,|13/13/18|,372,4.25,5.3
2011,Convenience stores,Cosmetics,J&F,|13/13/20|,636,4.76,5.3
2011,Convenience stores,Cosmetics,J&F,|13/13/21|,636,4.14,5.37
2011,Convenience stores,Cosmetics,J&F,|13/13/22|,300,4.73,5.37
2011,Convenience stores,Cosmetics,J&F,|13/13/24|,276,4.35,5.03
2011,Convenience stores,Cosmetics,J&F,|13/13/44|,420,4.09,5.11
2011,Convenience stores,Cosmetics,J&F,|13/99/13|,456,4,5.16
2011,Convenience stores,Cosmetics,Beiersdorf,|39/01/01|,456,4.56,5.12
2011,Convenience stores,Cosmetics,Beiersdorf,|39/01/02|,492,4.79,5.4
2011,Convenience stores,Cosmetics,Beiersdorf,|39/01/03|,336,4.75,5.2
2011,Convenience stores,Cosmetics,Beiersdorf,|39/01/04|,612,4.85,5.38
2011,Convenience stores,Cosmetics,Beiersdorf,|39/01/05|,552,4.61,5.19
2011,Convenience stores,Cosmetics,Beiersdorf,|39/01/06|,516,4.52,5.13
2011,Convenience stores,Cosmetics,Beiersdorf,|39/01/07|,408,4.22,5.17
2011,Convenience stores,Cosmetics,Beiersdorf,|39/01/30|,708,4.89,5.4
2011,Convenience stores,Beverages,Famous Grousse,|26/01/01|,144,1.14,1.38
2011,Convenience stores,Beverages,Famous Grousse,|26/01/02|,156,1.13,1.35
2011,Convenience stores,Beverages,Famous Grousse,|26/01/03|,108,1.19,1.23
2011,Convenience stores,Meat,Ferrero,|48/01/41|,480,5.353333333,8.546666667
2011,Convenience stores,Sweets,Ferrero,|48/01/01|,1224,1.2,1.79
2011,Convenience stores,Sweets,Ferrero,|48/01/02|,888,1.41,1.79
2011,Convenience stores,Sweets,Ferrero,|48/01/03|,912,1.15,1.6
2011,Convenience stores,Sweets,Ferrero,|48/01/04|,888,1.15,1.79
2011,Convenience stores,Sweets,Ferrero,|48/01/05|,852,1.16,1.75
2011,Convenience stores,Sweets,Ferrero,|48/01/06|,792,1.41,1.72
2011,Convenience stores,Sweets,Ferrero,|48/01/07|,744,1.46,1.79
2011,Convenience stores,Sweets,Ferrero,|48/01/08|,1128,1.22,1.69
2011,Convenience stores,Sweets,Ferrero,|48/01/09|,624,1.44,1.67
2011,Convenience stores,Sweets,Ferrero,|48/01/10|,1140,1.18,1.66
2011,Convenience stores,Sweets,Ferrero,|48/01/11|,876,1.15,1.69
2011,Convenience stores,Sweets,Ferrero,|48/01/12|,924,1.36,1.63
2011,Convenience stores,Sweets,Ferrero,|48/01/13|,792,1.37,1.87
2011,Convenience stores,Sweets,Ferrero,|48/01/14|,900,1.22,1.69
2011,Convenience stores,Sweets,Ferrero,|48/01/15|,816,1.39,1.65
2011,Convenience stores,Sweets,Ferrero,|48/01/16|,624,1.49,1.73
2011,Convenience stores,Sweets,Ferrero,|48/01/17|,1272,1.42,1.76
2011,Convenience stores,Sweets,Ferrero,|48/01/18|,624,1.46,1.82
2011,Convenience stores,Sweets,Ferrero,|48/01/19|,780,1.29,1.75
2011,Convenience stores,Sweets,Ferrero,|48/01/20|,1020,1.27,1.8
2011,Convenience stores,Sweets,Ferrero,|48/01/21|,912,1.48,1.9
2011,Convenience stores,Sweets,Ferrero,|48/01/22|,912,1.4,1.68
2011,Convenience stores,Sweets,Ferrero,|48/01/23|,1212,1.5,1.63
2011,Convenience stores,Sweets,Ferrero,|48/01/24|,1212,1.32,1.81
2011,Convenience stores,Sweets,Ferrero,|48/01/25|,1104,1.24,1.73
2011,Convenience stores,Sweets,Ferrero,|48/01/26|,684,1.16,1.71
2011,Convenience stores,Sweets,Ferrero,|48/01/27|,864,1.23,1.6
2011,Convenience stores,Sweets,Ferrero,|48/01/28|,696,1.48,1.69
2011,Convenience stores,Sweets,Ferrero,|48/01/29|,1308,1.5,1.63
2011,Convenience stores,Sweets,Ferrero,|48/01/30|,672,1.13,1.89
2011,Convenience stores,Sweets,Ferrero,|48/01/31|,684,1.24,1.82
2011,Convenience stores,Sweets,Ferrero,|48/01/32|,972,1.38,1.89
2011,Convenience stores,Sweets,Ferrero,|48/01/33|,1044,1.45,1.77
2011,Convenience stores,Sweets,Ferrero,|48/01/34|,780,1.46,1.74
2011,Convenience stores,Sweets,Ferrero,|48/01/35|,732,1.28,1.81
2011,Convenience stores,Sweets,Ferrero,|48/01/36|,804,1.48,1.81
2011,Convenience stores,Sweets,Ferrero,|48/01/37|,1128,1.29,1.88
2011,Convenience stores,Sweets,Ferrero,|48/01/38|,1116,1.2,1.84
2011,Convenience stores,Sweets,Ferrero,|48/01/39|,1200,1.19,1.74
2011,Convenience stores,Sweets,Ferrero,|48/01/40|,1032,1.47,1.89
2011,Convenience stores,Sweets,Ferrero,|48/01/42|,756,1.21,1.6
2011,Convenience stores,Sweets,Ferrero,|48/01/43|,912,1.13,1.71
2011,Convenience stores,Sweets,Ferrero,|48/01/44|,1140,1.35,1.62
2011,Convenience stores,Sweets,Ferrero,|48/01/45|,876,1.31,1.67
2011,Convenience stores,Sweets,Ferrero,|48/01/46|,1140,1.41,1.79
2011,Convenience stores,Sweets,Ferrero,|48/01/47|,924,1.39,1.64
2011,Convenience stores,Sweets,Ferrero,|48/01/48|,996,1.41,1.84
2011,Convenience stores,Sweets,Ferrero,|48/01/49|,1224,1.16,1.79
2011,Convenience stores,Sweets,Ferrero,|48/01/50|,1296,1.18,1.76
2011,Convenience stores,Sweets,Ferrero,|48/01/51|,624,1.12,1.79
2011,Convenience stores,Sweets,Ferrero,|48/01/52|,576,1.26,1.73
2011,Convenience stores,Sweets,Ferrero,|48/01/53|,588,1.16,1.6
2011,Convenience stores,Sweets,Ferrero,|48/01/54|,804,1.32,1.68
2011,Convenience stores,Sweets,Ferrero,|48/01/55|,1248,1.17,1.86
2011,Convenience stores,Sweets,Ferrero,|48/01/56|,1212,1.4,1.79
2011,Convenience stores,Sweets,Ferrero,|48/01/57|,696,1.38,1.69
2011,Convenience stores,Sweets,Ferrero,|48/01/58|,576,1.13,1.8
2011,Convenience stores,Sweets,Ferrero,|48/01/59|,732,1.29,1.88
2011,Convenience stores,Sweets,Ferrero,|48/01/60|,1152,1.24,1.74
2011,Convenience stores,Sweets,Ferrero,|48/01/61|,1272,1.39,1.6
2011,Convenience stores,Ice cream,Cioccolatti Italiani,|63/03/08|,1908,2.43,3.43
2011,Convenience stores,Ice cream,Cioccolatti Italiani,|63/03/09|,2220,2.53,3.5
2011,Convenience stores,Ice cream,Cioccolatti Italiani,|63/03/10|,2112,2.88,3.58
2011,Convenience stores,Ice cream,Cioccolatti Italiani,|63/03/11|,2736,2.35,3.94
2011,Convenience stores,Ice cream,Cioccolatti Italiani,|63/03/12|,1428,2.68,3.68
2011,Convenience stores,Meat,Mindi,|79/01/48|,456,6.646666667,7.566666667
2011,Convenience stores,Meat,Mindi,|79/01/49|,564,6.426666667,7.4
2011,Convenience stores,Meat,Mindi,|79/01/79|,468,5.866666667,8.406666667
2011,Convenience stores,Fresh salads,Spani,|99/01/05|,780,2.73,3.49
2011,Convenience stores,Fresh salads,Spani,|99/01/06|,912,2.06,3.35
2011,Convenience stores,Ice cream,Grom,|09/04/11|,1656,2.63,3.48
2011,Convenience stores,Ice cream,Grom,|09/04/12|,1344,2.36,4
2011,Convenience stores,Ice cream,Grom,|09/04/13|,1752,2.89,3.77
2011,Convenience stores,Ice cream,Grom,|09/04/14|,2388,2.53,3.56
2011,Convenience stores,Ice cream,Grom,|09/04/15|,2628,2.66,3.98
2011,Convenience stores,Ice cream,Rivareno,|99/06/01|,2064,2.78,3.62
2011,Convenience stores,Ice cream,L'angolo vicino,|06/04/01|,1752,2.96,3.97
2011,Convenience stores,Ice cream,L'angolo vicino,|06/04/03|,1260,2.57,3.69
2011,Convenience stores,Ice cream,L'angolo vicino,|06/04/11|,1524,2.57,3.99
2011,Convenience stores,Ice cream,L'angolo vicino,|06/04/12|,1356,2.62,3.93
2011,Convenience stores,Ice cream,L'angolo vicino,|06/04/13|,2220,2.3,3.91
2011,Convenience stores,Ice cream,L'angolo vicino,|06/04/20|,1224,2.63,3.77
2011,Convenience stores,Ice cream,Sadand,|07/07/01|,1968,2.32,3.62
2011,Convenience stores,Ice cream,Sadand,|07/07/02|,1980,2.65,3.44
2011,Convenience stores,Ice cream,Sadand,|07/07/03|,1596,2.52,4
2011,Convenience stores,Ice cream,Sadand,|07/07/04|,1644,3,3.5
2011,Convenience stores,Ice cream,Sadand,|07/07/05|,1524,2.33,3.94
2011,Convenience stores,Ice cream,Sadand,|07/07/06|,2664,2.61,3.98
2011,Convenience stores,Ice cream,Sadand,|07/07/07|,2412,2.56,3.89
2011,Convenience stores,Ice cream,Sadand,|07/07/08|,1584,2.69,3.67
2011,Convenience stores,Ice cream,Sadand,|07/07/09|,1692,3,3.79
2011,Convenience stores,Ice cream,Sadand,|07/07/10|,1404,2.34,3.72
2011,Convenience stores,Beverages,Heineken,|33/01/01|,108,1.2,1.37
2011,Convenience stores,Beverages,Heineken,|33/01/02|,144,1.05,1.26
2011,Convenience stores,Beverages,Heineken,|33/01/03|,96,1.19,1.38
2011,Convenience stores,Beverages,Heineken,|33/01/04|,96,1.05,1.29
2011,Convenience stores,Beverages,Heineken,|33/01/05|,108,1.13,1.29
2011,Convenience stores,Beverages,Heineken,|33/01/06|,108,1.18,1.32
2011,Convenience stores,Beverages,Heineken,|33/01/07|,120,1.08,1.23
2011,Convenience stores,Beverages,Heineken,|33/01/08|,120,1.04,1.35
2011,Convenience stores,Beverages,Heineken,|33/01/09|,72,1.09,1.3
2011,Convenience stores,Beverages,Heineken,|33/01/10|,90,1.15,1.36
2011,Convenience stores,Beverages,Heineken,|33/01/11|,48,1.16,1.2
2011,Convenience stores,Beverages,Heineken,|33/01/12|,84,1.03,1.26
2011,Convenience stores,Beverages,Heineken,|33/01/13|,84,1.09,1.3
2011,Convenience stores,Beverages,Heineken,|33/01/14|,120,1.19,1.21
2011,Convenience stores,Beverages,Heineken,|33/01/15|,48,1.01,1.22
2011,Convenience stores,Beverages,Heineken,|33/01/16|,168,1.11,1.33
2011,Convenience stores,Beverages,Heineken,|33/01/17|,144,1,1.34
2011,Convenience stores,Beverages,Heineken,|33/01/18|,144,1.19,1.34
2011,Convenience stores,Beverages,Heineken,|33/01/19|,156,1.09,1.31
2011,Convenience stores,Beverages,Heineken,|33/01/20|,120,1,1.27
2011,Convenience stores,Beverages,Heineken,|33/01/21|,108,1.1,1.33
2011,Convenience stores,Beverages,Heineken,|33/01/22|,108,1.15,1.37
2011,Convenience stores,Beverages,Heineken,|33/01/23|,108,1.09,1.37
2011,Convenience stores,Beverages,Heineken,|33/01/24|,168,1.09,1.23
2011,Convenience stores,Beverages,Heineken,|33/01/25|,144,1.05,1.3
2011,Convenience stores,Beverages,Heineken,|33/01/26|,108,1.16,1.3
2011,Convenience stores,Beverages,Heineken,|33/01/30|,168,1.19,1.28
2011,Convenience stores,Beverages,Heineken,|33/01/31|,132,1.08,1.4
2011,Convenience stores,Beverages,Heineken,|33/01/32|,132,1.17,1.23
2011,Convenience stores,Beverages,Heineken,|33/01/33|,132,1.09,1.21
2011,Convenience stores,Beverages,Heineken,|33/01/40|,48,1.15,1.36
2011,Convenience stores,Beverages,Heineken,|33/01/41|,96,1.02,1.32
2011,Convenience stores,Beverages,Heineken,|33/01/42|,156,1.18,1.23
2011,Convenience stores,Beverages,Heineken,|33/01/43|,108,1.17,1.25
2011,Convenience stores,Beverages,Heineken,|33/01/44|,108,1.14,1.3
2011,Convenience stores,Beverages,Heineken,|33/01/45|,132,1.01,1.27
2011,Convenience stores,Beverages,Heineken,|33/01/46|,48,1.05,1.25
2011,Convenience stores,Beverages,Heineken,|33/01/47|,60,1.06,1.27
2011,Convenience stores,Beverages,Heineken,|33/01/48|,48,1.15,1.36
2011,Convenience stores,Beverages,Heineken,|33/01/49|,144,1,1.36
2011,Convenience stores,Beverages,Heineken,|33/01/50|,96,1.07,1.38
2011,Convenience stores,Beverages,Heineken,|33/01/51|,168,1.18,1.23
2011,Convenience stores,Beverages,Heineken,|33/01/52|,60,1.11,1.2
2011,Convenience stores,Beverages,Heineken,|33/01/60|,48,1.08,1.27
2011,Convenience stores,Beverages,Heineken,|33/01/61|,120,1.08,1.25
2011,Convenience stores,Beverages,Heineken,|33/01/62|,48,1.14,1.35
2011,Convenience stores,Beverages,Heineken,|33/01/63|,60,1.13,1.37
2011,Convenience stores,Beverages,Heineken,|33/01/64|,156,1.06,1.21
2011,Convenience stores,Beverages,Heineken,|33/10/01|,168,1.18,1.39
2011,Convenience stores,Beverages,Heineken,|33/99/91|,132,1.13,1.39
2011,Convenience stores,Beverages,Heineken,|33/99/92|,60,1.04,1.28
2011,Convenience stores,Beverages,Heineken,|33/99/93|,96,1.12,1.32
2011,Convenience stores,Beverages,Heineken,|33/99/94|,120,1.18,1.36
2011,Convenience stores,Beverages,Heineken,|33/99/95|,96,1.03,1.21
2011,Convenience stores,Beverages,Heineken,|33/99/96|,120,1.1,1.34
2011,Convenience stores,Beverages,Heineken,|33/99/98|,168,1.05,1.36
2011,Convenience stores,Beverages,Heineken,|33/99/99|,84,1.16,1.26
2011,Convenience stores,Beverages,Tuborg,|33/99/97|,60,1.09,1.33
2011,Convenience stores,Beverages,Tuborg,|97/01/01|,72,1,1.22
2011,Convenience stores,Beverages,Tuborg,|97/01/02|,96,1.09,1.31
2011,Convenience stores,Beverages,Tuborg,|97/01/03|,96,1.19,1.26
2011,Convenience stores,Beverages,Tuborg,|97/02/01|,60,1.07,1.23
2011,Convenience stores,Beverages,Tuborg,|97/02/02|,84,1.08,1.25
2011,Convenience stores,Beverages,Tuborg,|97/02/03|,156,1.01,1.32
2011,Convenience stores,Beverages,Tuborg,|97/02/05|,72,1.15,1.29
2011,Convenience stores,Ice cream,Optima,|64/01/01|,2256,2.49,3.85
2011,Convenience stores,Ice cream,Optima,|64/01/02|,2088,2.99,3.62
2011,Convenience stores,Ice cream,Optima,|64/02/01|,1584,2.97,3.39
2011,Convenience stores,Ice cream,Optima,|64/02/02|,2088,2.8,3.35
2011,Convenience stores,Ice cream,Optima,|64/02/03|,2664,2.76,3.51
2011,Convenience stores,Ice cream,Optima,|64/02/04|,2712,2.77,3.51
2011,Convenience stores,Ice cream,Optima,|64/02/05|,1896,2.61,3.67
2011,Convenience stores,Cosmetics,Genco,|20/10/02|,588,4.63,5.12
2011,Convenience stores,Cosmetics,Genco,|20/10/03|,348,4.65,5.28
2011,Convenience stores,Cosmetics,Genco,|20/10/04|,408,4.89,5.01
2011,Convenience stores,Cosmetics,Genco,|20/10/05|,276,4.82,5.05
2011,Convenience stores,Cosmetics,Genco,|20/10/06|,624,4.37,5.09
2011,Convenience stores,Cosmetics,Genco,|20/10/07|,720,4.63,5.25
2011,Convenience stores,Cosmetics,Genco,|20/10/08|,492,4.9,5.09
2011,Convenience stores,Cosmetics,Genco,|20/10/09|,504,4.43,5.29
2011,Convenience stores,Cosmetics,Genco,|20/10/10|,492,4.49,5.34
